Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
09.3,False,False,True,35968,,Asian Art,1909.0,Pictorial map,清  佚名  台南地區荷蘭城堡|Forts Zeelandia and Provintia and the City of Tainan,China,,,,,3750,Artist, ,Unidentified artist,"Chinese, active 19th century", ,Unidentified artist, ,          ,          ,,,,19th century,1800,1899,Wall hanging; ink and color on deerskin,"Image: 59 1/4 × 80 3/4 in. (150.5 × 205.1 cm)
Overall with decorative borders: 68 5/8 × 90 1/4 in. (174.3 × 229.2 cm)","Gift of J. Pierpont Morgan, 1909",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35968,https://www.wikidata.org/wiki/Q79003782,,"Metropolitan Museum of Art, New York, NY",Maps|Houses|Cities|Boats|Ships,http://vocab.getty.edu/page/aat/300028094|http://vocab.getty.edu/page/aat/300005433|http://vocab.getty.edu/page/aat/300008389|http://vocab.getty.edu/page/aat/300178749|http://vocab.getty.edu/page/aat/300082981,https://www.wikidata.org/wiki/Q4006|https://www.wikidata.org/wiki/Q3947|https://www.wikidata.org/wiki/Q515|https://www.wikidata.org/wiki/Q35872|https://www.wikidata.org/wiki/Q11446
12.37.135,False,False,False,35969,,Asian Art,1912.0,Hanging scroll,,China,Qing dynasty (1644–1911),,,,1214,Artist, ,Jin Zunnian,"Chinese, active early 18th century", ,Jin Zunnian,Chinese,1700      ,1800      ,,,,dated 1732,1732,1732,Hanging scroll; ink and color on silk,67 x 38 in. (170.2 x 96.5 cm),"Rogers Fund, 1912",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35969,,,"Metropolitan Museum of Art, New York, NY",,,
13.100.22,False,False,True,35970,,Asian Art,1913.0,Hanging scroll,明   丁雲鵬   潯陽送客圖   軸|Song of the Lute,China,late Ming dynasty (1368–1644),,,,1206,Artist, ,Ding Yunpeng,"Chinese, 1547–ca. 1628", ,Ding Yunpeng,Chinese,1547      ,1628      ,,http://vocab.getty.edu/page/ulan/500125747,https://www.wikidata.org/wiki/Q376079,1585,1585,1585,Hanging scroll; ink and color on paper,Image: 55 5/8 x 18 1/8 in. (141.3 x 46 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35970,https://www.wikidata.org/wiki/Q79003726,,"Metropolitan Museum of Art, New York, NY",Mountains|Trees|Boats,http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132410|http://vocab.getty.edu/page/aat/300178749,https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q10884|https://www.wikidata.org/wiki/Q35872
13.100.25,False,False,True,35971,,Asian Art,1913.0,Hanging scroll,清   佚名   倣王翬   倣李成山水圖   軸|Landscape after Li Cheng,China,Qing dynasty (1644–1911),,,,116363750,Artist|Artist,After| ,Wang Hui|Unidentified artist,"Chinese, 1632–1717| ", | ,Wang Hui|Unidentified artist,Chinese| ,1632      |          ,1717      |          ,|,http://vocab.getty.edu/page/ulan/500327902|,https://www.wikidata.org/wiki/Q716222|,"18th century or later, spurious date of 1680",1700,1911,Hanging scroll; ink on silk,14 1/2 x 11 1/8 in. (36.8 x 28.3 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35971,https://www.wikidata.org/wiki/Q79003601,,"Metropolitan Museum of Art, New York, NY",Mountains|Landscapes,http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q191163
13.100.40,False,False,True,35972,,Asian Art,1913.0,Folding fan mounted as an album leaf,清   佚名   倣王翬   倣仇實父採菱圖   扇|Gathering Water Chestnuts,China,Qing dynasty (1644–1911),,,,116363750,Artist|Artist,After| ,Wang Hui|Unidentified artist,"Chinese, 1632–1717| ", | ,Wang Hui|Unidentified artist,Chinese| ,1632      |          ,1717      |          ,|,http://vocab.getty.edu/page/ulan/500327902|,https://www.wikidata.org/wiki/Q716222|,"18th century or later, spurious date of 1706",1700,1911,Folding fan mounted as an album leaf; ink and color on paper,6 3/4 x 20 in. (17.1 x 50.8 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35972,https://www.wikidata.org/wiki/Q79003460,,"Metropolitan Museum of Art, New York, NY",Boats|Houses|Landscapes,http://vocab.getty.edu/page/aat/300178749|http://vocab.getty.edu/page/aat/300005433|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q35872|https://www.wikidata.org/wiki/Q3947|https://www.wikidata.org/wiki/Q191163
13.100.42,False,False,True,35973,,Asian Art,1913.0,Folding fan mounted as an album leaf,清   佚名   倣王鑑   倣惠崇山水圖   扇|Landscape in the Style of Huichong,China,Qing dynasty (1644–1911),,,,116453750,Artist|Artist,After| ,Wang Jian|Unidentified artist,"Chinese, 1609–1677/88| ", | ,Wang Jian|Unidentified artist,Chinese| ,1609      |          ,1677      |          ,|,|,https://www.wikidata.org/wiki/Q711481|,"18th century or later, spurious date of 1676",1700,1911,Folding fan mounted as an album leaf; ink and color on paper,6 3/8 x 20 1/2 in. (16.2 x 52.1 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35973,https://www.wikidata.org/wiki/Q79003341,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
13.100.43,False,False,True,35974,,Asian Art,1913.0,Folding fan mounted as an album leaf,清   倣王時敏  山水  扇面|Landscape,China,Qing dynasty (1644–1911),,,,117003750,Artist|Artist,After| ,Wang Shimin|Unidentified artist,"Chinese, 1592–1680| ", | ,WANG SHIMIN|Unidentified artist,Chinese| ,1592      |          ,1680      |          ,|,http://vocab.getty.edu/page/ulan/500331779|,https://www.wikidata.org/wiki/Q716184|,"18th century or later, spurious date of 1648",1700,1911,Folding fan mounted as an album leaf; ink on gold paper,6 1/2 x 20 1/2 in. (16.5 x 52.1 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35974,https://www.wikidata.org/wiki/Q79003197,,"Metropolitan Museum of Art, New York, NY",Mountains|Landscapes,http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q191163
13.100.45,False,False,True,35975,,Asian Art,1913.0,Folding fan mounted as an album leaf,清   佚名   倣王翬   臨燕文貴勘書圖   扇|Landscape in the Style of Yan Wengui,China,Qing dynasty (1644–1911),,,,116363750,Artist|Artist,After| ,Wang Hui|Unidentified artist,"Chinese, 1632–1717| ", | ,Wang Hui|Unidentified artist,Chinese| ,1632      |          ,1717      |          ,|,http://vocab.getty.edu/page/ulan/500327902|,https://www.wikidata.org/wiki/Q716222|,"18th century or later, spurious date of 1707",1707,1911,Folding fan mounted as an album leaf; ink and color on paper,6 1/2 x 19 1/4 in. (16.5 x 48.9 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35975,https://www.wikidata.org/wiki/Q79003053,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
13.100.47,False,False,True,35977,,Asian Art,1913.0,Folding fan mounted as an album leaf,明（？）　陸克正　倣北苑山水　扇|Landscape in the manner of Dong Yuan,China,Ming (1368–1644) or Qing (1644–1911) dynasty,,,,114411209,Artist|Artist,In the manner of| ,Dong Yuan|Lu Kezheng,"Chinese, active 930s–960s|Chinese, active 17th century", | ,DONG YUAN|Lu Kezheng,Chinese|Chinese,0930      |1600      ,0960      |1644      ,|,http://vocab.getty.edu/page/ulan/500123264|,https://www.wikidata.org/wiki/Q890613|,1591/1651,1591,1651,Folding fan mounted as an album leaf; ink on gold paper,6 1/2 x 20 in. (16.5 x 50.8 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35977,https://www.wikidata.org/wiki/Q79002922,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
13.100.49,False,False,True,35979,,Asian Art,1913.0,Folding fan mounted as an album leaf,明/清　佚名　倣文徴明　山水　扇|Landscape,China,Ming dynasty (1368–1644) or later,,,,117953750,Artist|Artist,After| ,Wen Zhengming|Unidentified artist,"Chinese, 1470–1559| ", | ,Wen Zhengming|Unidentified artist,Chinese| ,1470      |          ,1559      |          ,|,http://vocab.getty.edu/page/ulan/500336955|,https://www.wikidata.org/wiki/Q306673|,,1368,1644,Folding fan mounted as an album leaf; ink and color on gold-flecked paper,7 1/8 x 20 1/2 in. (18.1 x 52.1 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35979,https://www.wikidata.org/wiki/Q79002794,,"Metropolitan Museum of Art, New York, NY",Mountains|Landscapes,http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q191163
